"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.05647","5647",53,31
"10.21105/joss.06188","6188",45,23
"10.21105/joss.01291","1291",79,63
"10.21105/joss.01345","1345",36,23
"10.21105/joss.01889","1889",85,61
"10.21105/joss.00916","916",31,20
"10.21105/joss.01022","1022",52,36
"10.21105/joss.01945","1945",40,23
"10.21105/joss.06263","6263",103,69
"10.21105/joss.00500","500",52,35
"10.21105/joss.01890","1890",60,34
"10.21105/joss.05340","5340",52,28
"10.21105/joss.02117","2117",90,65
"10.21105/joss.01387","1387",45,27
"10.21105/joss.00235","235",45,43
"10.21105/joss.01956","1956",70,53
"10.21105/joss.06148","6148",70,47
"10.21105/joss.05983","5983",80,56
"10.21105/joss.02594","2594",60,34
"10.21105/joss.00701","701",48,19
"10.21105/joss.05702","5702",60,33
"10.21105/joss.06573","6573",65,39
"10.21105/joss.04299","4299",46,26
"10.21105/joss.03898","3898",120,71
"10.21105/joss.00849","849",68,45
"10.21105/joss.01408","1408",102,66
"10.21105/joss.05688","5688",129,86
"10.21105/joss.04363","4363",141,96
"10.21105/joss.02843","2843",43,25
"10.21105/joss.02119","2119",33,18
"10.21105/joss.04896","4896",86,58
"10.21105/joss.04624","4624",89,61
"10.21105/joss.04459","4459",77,50
"10.21105/joss.04531","4531",50,29
"10.21105/joss.04326","4326",66,42
"10.21105/joss.04442","4442",92,58
"10.21105/joss.04762","4762",71,49
"10.21105/joss.04592","4592",106,73
"10.21105/joss.04663","4663",46,26
"10.21105/joss.04848","4848",74,48
"10.21105/joss.04306","4306",49,29
"10.21105/joss.04683","4683",75,51
"10.21105/joss.04282","4282",97,65
"10.21105/joss.04719","4719",65,42
"10.21105/joss.04906","4906",62,40
"10.21105/joss.04969","4969",67,42
"10.21105/joss.05039","5039",71,49
"10.21105/joss.05139","5139",53,31
"10.21105/joss.04280","4280",91,60
"10.21105/joss.04024","4024",82,45
"10.21105/joss.04305","4305",96,70
"10.21105/joss.04467","4467",66,40
"10.21105/joss.04172","4172",88,60
"10.21105/joss.04022","4022",100,60
"10.21105/joss.03829","3829",63,40
"10.21105/joss.03965","3965",220,160
"10.21105/joss.03990","3990",66,42
"10.21105/joss.05639","5639",67,43
"10.21105/joss.04080","4080",92,54
"10.21105/joss.04231","4231",70,42
"10.21105/joss.04303","4303",74,46
"10.21105/joss.05420","5420",109,74
"10.21105/joss.05813","5813",80,49
"10.21105/joss.05195","5195",58,33
"10.21105/joss.05364","5364",55,35
"10.21105/joss.04900","4900",54,36
"10.21105/joss.05658","5658",88,62
"10.21105/joss.05397","5397",75,56
"10.21105/joss.05616","5616",60,37
"10.21105/joss.05567","5567",58,35
"10.21105/joss.03292","3292",93,61
"10.21105/joss.03736","3736",116,93
"10.21105/joss.03700","3700",110,79
"10.21105/joss.03741","3741",60,35
"10.21105/joss.04073","4073",134,96
"10.21105/joss.04093","4093",71,44
"10.21105/joss.03220","3220",58,39
"10.21105/joss.04099","4099",104,71
"10.21105/joss.03947","3947",70,44
"10.21105/joss.02749","2749",77,57
"10.21105/joss.05731","5731",140,105
"10.21105/joss.03861","3861",83,56
"10.21105/joss.03711","3711",100,61
"10.21105/joss.00528","528",24,15
"10.21105/joss.00487","487",49,39
"10.21105/joss.01157","1157",63,52
"10.21105/joss.02060","2060",63,43
"10.21105/joss.01621","1621",66,43
"10.21105/joss.06746","6746",91,54
"10.21105/joss.00494","494",23,17
"10.21105/joss.05091","5091",55,30
"10.21105/joss.04205","4205",69,48
"10.21105/joss.01885","1885",47,27
"10.21105/joss.02481","2481",60,36
"10.21105/joss.00402","402",8,6
"10.21105/joss.05727","5727",89,62
"10.21105/joss.02161","2161",125,92
"10.21105/joss.00859","859",8,3
"10.21105/joss.03053","3053",127,95
"10.21105/joss.05946","5946",51,30
"10.21105/joss.05434","5434",76,46
"10.21105/joss.03901","3901",79,47
"10.21105/joss.02134","2134",48,33
"10.21105/joss.01863","1863",35,24
"10.21105/joss.01003","1003",32,17
"10.21105/joss.04050","4050",71,37
"10.21105/joss.04633","4633",54,34
"10.21105/joss.01839","1839",79,49
"10.21105/joss.01147","1147",60,44
"10.21105/joss.04902","4902",85,52
"10.21105/joss.02153","2153",133,101
"10.21105/joss.02290","2290",68,45
"10.21105/joss.06224","6224",74,46
"10.21105/joss.03959","3959",102,75
"10.21105/joss.00885","885",26,19
"10.21105/joss.06368","6368",86,64
"10.21105/joss.03168","3168",66,41
"10.21105/joss.00828","828",37,24
"10.21105/joss.03823","3823",63,39
"10.21105/joss.03020","3020",168,123
"10.21105/joss.03456","3456",33,16
"10.21105/joss.01543","1543",56,33
"10.21105/joss.03414","3414",60,35
"10.21105/joss.06146","6146",72,50
"10.21105/joss.03526","3526",75,40
"10.21105/joss.01075","1075",41,25
"10.21105/joss.02308","2308",95,74
"10.21105/joss.00024","24",20,20
"10.21105/joss.00305","305",5,3
"10.21105/joss.02838","2838",68,46
"10.21105/joss.01266","1266",54,35
"10.21105/joss.00748","748",27,19
"10.21105/joss.02158","2158",59,38
"10.21105/joss.03434","3434",71,47
"10.21105/joss.03066","3066",95,54
"10.21105/joss.02349","2349",52,35
"10.21105/joss.01315","1315",102,60
"10.21105/joss.02768","2768",64,40
"10.21105/joss.02688","2688",128,99
"10.21105/joss.06105","6105",57,34
"10.21105/joss.00053","53",37,33
